time_index,mean,std,p05,p25,p50,p75,p95,actual
230,267.05948,0.6612246,265.9965,266.47177,267.13092,267.5103,268.02435,264.49922
231,267.3043,0.6402619,266.2778,266.77765,267.39822,267.72406,268.26926,264.91407
232,267.5497,0.6205741,266.55896,267.07108,267.6399,267.93347,268.5181,265.31505
233,267.79456,0.60239404,266.8284,267.35355,267.86798,268.14233,268.75284,265.69948
234,268.0377,0.5859077,267.09198,267.618,268.10022,268.34967,268.96463,266.06468
235,268.27783,0.57125807,267.35248,267.86813,268.3404,268.5763,269.17603,266.40797
236,268.5138,0.5585447,267.60846,268.11374,268.57666,268.8501,269.3837,266.72667
237,268.74445,0.54780257,267.8586,268.3758,268.80792,269.0878,269.58655,267.03206
238,268.9687,0.53898954,268.10187,268.62094,269.02252,269.28113,269.7837,267.33721
239,269.18613,0.53200936,268.33752,268.86194,269.25183,269.45416,269.9746,267.64216
240,269.39682,0.52671725,268.5657,269.08624,269.46393,269.65298,270.1593,267.9469
241,269.60126,0.5229502,268.7869,269.2797,269.6644,269.8707,270.3382,268.25146
242,269.8004,0.5205533,269.00223,269.463,269.86725,270.09415,270.52734,268.55587
243,269.99582,0.51938254,269.2134,269.65918,270.02808,270.33475,270.72995,268.86013
244,270.1892,0.5193132,269.42227,269.83786,270.18842,270.52454,270.93103,269.16426
245,270.3816,0.52031076,269.62857,270.03064,270.38263,270.70142,271.1312,269.46829
246,270.57312,0.52237076,269.83408,270.22253,270.5502,270.90518,271.33057,269.77223
247,270.76373,0.5254754,270.03885,270.41382,270.72202,271.10797,271.5291,270.0761
248,270.95352,0.52961665,270.2269,270.5957,270.92017,271.29773,271.7302,270.37992
249,271.14246,0.534757,270.4101,270.77127,271.10208,271.4859,271.93185,270.6837
250,271.33066,0.5408883,270.59125,270.94626,271.2865,271.6728,272.13776,270.98746
251,271.51813,0.54797375,270.76587,271.12067,271.48392,271.86206,272.3687,271.29123
252,271.7049,0.55597883,270.92395,271.28302,271.6827,272.05777,272.59894,271.59501
253,271.891,0.5648742,271.08105,271.43765,271.87903,272.25513,272.82843,271.89883
254,272.0765,0.5746165,271.23605,271.6015,272.05756,272.4515,273.05725,272.20271
255,272.2614,0.5851841,271.39694,271.77795,272.2614,272.647,273.28668,272.50666
256,272.4458,0.5965261,271.57858,271.97986,272.46674,272.8437,273.51694,272.8107
257,272.62967,0.6086175,271.7571,272.17444,272.63928,273.04083,273.7467,273.11485
258,272.81308,0.6214115,271.93524,272.33142,272.82062,273.23883,273.97394,273.41912
259,272.9961,0.6348786,272.11295,272.48074,273.00778,273.4361,274.1764,273.72355
260,273.1787,0.64898443,272.2693,272.657,273.18338,273.62958,274.37854,274.02813
261,273.361,0.6636996,272.4251,272.81488,273.35852,273.8167,274.58044,274.3329
262,273.54297,0.6789876,272.58047,272.96378,273.5332,274.0197,274.78214,274.63787
263,273.7247,0.69482577,272.74796,273.12366,273.70746,274.20065,274.97235,274.94306
264,273.90622,0.7111833,272.91977,273.29633,273.8814,274.37845,275.16202,275.24848
265,274.08755,0.7280312,273.08392,273.48334,274.055,274.5727,275.36993,275.55415
266,274.26877,0.7453595,273.22592,273.6717,274.22833,274.787,275.57916,275.8601
267,274.4499,0.7631323,273.36765,273.85956,274.4014,275.0016,275.78857,276.16633
268,274.63095,0.78132856,273.5091,274.03082,274.5743,275.21616,275.99817,276.47622
269,274.8121,0.79994476,273.6571,274.19403,274.74713,275.4024,276.2067,276.79266
270,274.99362,0.81898385,273.80896,274.3658,274.92004,275.59915,276.41104,277.11498
271,275.17578,0.83844817,273.9611,274.5443,275.10648,275.80283,276.6162,277.44253
272,275.35904,0.85837287,274.11374,274.72928,275.30072,276.0091,276.82275,277.77463
273,275.54382,0.8787746,274.2673,274.89304,275.49652,276.2103,277.0311,278.11061
274,275.73056,0.8996767,274.42203,275.06686,275.69443,276.40997,277.24167,278.44981
275,275.91962,0.92111385,274.57822,275.22467,275.89474,276.61273,277.45493,278.79157
276,276.11115,0.94306403,274.73325,275.38425,276.0976,276.81863,277.6709,279.13521
277,276.30493,0.96546763,274.88116,275.5459,276.3028,277.0296,277.8894,279.48006
278,276.50085,0.9882616,275.0307,275.7399,276.51022,277.24582,278.11023,279.82547
279,276.69873,1.0113797,275.18182,275.95227,276.71967,277.45367,278.33307,280.17077
280,276.8984,1.0347576,275.33453,276.16464,276.9309,277.65906,278.55774,280.51528
281,277.0997,1.0583156,275.4888,276.3764,277.1438,277.87054,278.784,280.85834
282,277.3025,1.0819944,275.64468,276.58508,277.35822,278.09213,279.01163,281.19928
283,277.50656,1.1057127,275.80215,276.77405,277.5739,278.32254,279.2404,281.53744
284,277.7118,1.1293913,275.96118,276.95837,277.7907,278.55914,279.47003,281.87215
285,277.91794,1.1529464,276.12134,277.1439,278.00848,278.79642,279.70032,282.20275
286,278.12494,1.1763024,276.2825,277.33057,278.2148,279.02417,279.93103,282.52856
287,278.33258,1.1993754,276.44528,277.5183,278.42163,279.24878,280.16196,282.84892
288,278.54065,1.2220856,276.60968,277.70435,278.62903,279.47003,280.3928,283.16316
289,278.74905,1.2443452,276.77576,277.89148,278.83698,279.68262,280.62332,283.47062
290,278.95755,1.2660775,276.94348,278.07974,279.04517,279.91074,280.85336,283.77062
291,279.166,1.2871948,277.11282,278.26907,279.2536,280.13596,281.08258,284.06251
